Type,Item,Why,Link
,,,
Audio,,,
,Mixer,Clean Audio and Interface,https://www.monoprice.com/product?p_id=615810
,Microphone,Cheap microphone that punches outside its weight class,https://www.amazon.com/Behringer-Ultravoice-Dynamic-Microphone-Cardioid/dp/B0002KZAKS
,,,
PC,,,
,Budget,,
,Enthusiast,,
,No Holds Barred,,
,,,
Software,,,
,VB Audio Cable,Different sound sources to different recording channels,https://www.vb-audio.com/Cable/index.htm
,Avidemux,Stripping audio out for individual edits/cleanup,http://fixounet.free.fr/avidemux/download.html
,Editing Software (Beginner),Powerful and Free,https://shop.gopro.com/softwareandapp/quik-%7C-desktop/Quik-Desktop.html
,Editing Software (Upgrade),Cheapish and more options,http://www.vegascreativesoftware.com/us/vegas-movie-studio-platinum/
,Editing Software (Pro Option 1),"Expensive, but one time fee.",http://www.vegascreativesoftware.com/us/vegas-pro/
,Editing Software (Pro Option 2),Cheaper monthly fee,http://www.adobe.com/products/premiere.html
,Photo Editing for Title Cards,Free photoshop alternative,https://www.gimp.org/
,OBS,Recording/Streaming,https://obsproject.com/
,Audacity,Recording/Editing Audio,http://www.audacityteam.org/
,,,
Misc,,,
,Useful Discord Bot,http://craigrecords.yahweasel.com/home/,
